family,instance_label,band,density_cell,rows,columns,nonzeros,method,device,tolerance,terminal_outcome,solver_status,runtime_s,quality_metric,quality_value,strict_quality_pass,gpu_confirmed
external,sorrell4,B3,HD,504451,2048,1008902,pdhg_gpu_tol_1e8,gpu,1e-8,completed,OPTIMAL,0.7316370010375977,descriptive_max_quality_score,3.4186768971267156e-09,true,true
external,square31,B4,HD,19435,28860,3937200,dual_simplex,cpu,,completed,OPTIMAL,0.4297220706939697,descriptive_max_quality_score,9.658940314238862e-14,true,false
external,square31,B4,HD,19435,28860,3937200,barrier,cpu,,completed,OPTIMAL,0.3830411434173584,descriptive_max_quality_score,8.192547173990761e-08,true,false
external,square31,B4,HD,19435,28860,3937200,pdhg_cpu_tol_1e6,cpu,1e-6,completed,OPTIMAL,4.352345943450928,descriptive_max_quality_score,3.934007627372165e-07,true,false
external,square31,B4,HD,19435,28860,3937200,pdhg_cpu_tol_1e8,cpu,1e-8,completed,OPTIMAL,5.0341150760650635,descriptive_max_quality_score,1.0575393737192825e-08,true,false
external,square31,B4,HD,19435,28860,3937200,pdhg_gpu_tol_1e6,gpu,1e-6,completed,OPTIMAL,4.756791830062866,descriptive_max_quality_score,1.8310655002240495e-06,false,true
external,square31,B4,HD,19435,28860,3937200,pdhg_gpu_tol_1e8,gpu,1e-8,completed,OPTIMAL,6.6476521492004395,descriptive_max_quality_score,1.713030006733618e-08,true,true
external,supportcase12,B3,LD,166781,799616,2334437,dual_simplex,cpu,,completed,OPTIMAL,1.075972080230713,descriptive_max_quality_score,3.410605131648481e-12,true,false
external,supportcase12,B3,LD,166781,799616,2334437,barrier,cpu,,completed,OPTIMAL,0.8336079120635986,descriptive_max_quality_score,8.413545415127262e-11,true,false
external,supportcase12,B3,LD,166781,799616,2334437,pdhg_cpu_tol_1e6,cpu,1e-6,completed,OPTIMAL,8.354909896850586,descriptive_max_quality_score,0.00019813298831500292,false,false
external,supportcase12,B3,LD,166781,799616,2334437,pdhg_cpu_tol_1e8,cpu,1e-8,completed,OPTIMAL,11.312789916992188,descriptive_max_quality_score,2.3337006775925317e-06,false,false
external,supportcase12,B3,LD,166781,799616,2334437,pdhg_gpu_tol_1e6,gpu,1e-6,completed,OPTIMAL,0.7328708171844482,descriptive_max_quality_score,0.00020148176643225435,false,true
external,supportcase12,B3,LD,166781,799616,2334437,pdhg_gpu_tol_1e8,gpu,1e-8,completed,OPTIMAL,0.7478809356689453,descriptive_max_quality_score,2.370406602336672e-06,false,true
external,tpl-tub-ss16,B4,LD,901872,595066,3687098,dual_simplex,cpu,,completed,OPTIMAL,56.76451110839844,descriptive_max_quality_score,3.552713678800501e-14,true,false
external,tpl-tub-ss16,B4,LD,901872,595066,3687098,barrier,cpu,,completed,OPTIMAL,8.245863914489746,descriptive_max_quality_score,7.690811957056731e-10,true,false
external,tpl-tub-ss16,B4,LD,901872,595066,3687098,pdhg_cpu_tol_1e6,cpu,1e-6,completed,OPTIMAL,43.314099073410034,descriptive_max_quality_score,7.594691701069525e-05,false,false
external,tpl-tub-ss16,B4,LD,901872,595066,3687098,pdhg_cpu_tol_1e8,cpu,1e-8,completed,OPTIMAL,87.0224621295929,descriptive_max_quality_score,1.9559573337002183e-08,true,false
external,tpl-tub-ss16,B4,LD,901872,595066,3687098,pdhg_gpu_tol_1e6,gpu,1e-6,completed,OPTIMAL,6.529301881790161,descriptive_max_quality_score,6.940075441685956e-05,false,true
external,tpl-tub-ss16,B4,LD,901872,595066,3687098,pdhg_gpu_tol_1e8,gpu,1e-8,completed,OPTIMAL,12.71357798576355,descriptive_max_quality_score,9.749822422075124e-09,true,true
