family,instance_label,size,rows,columns,nonzeros,method,device,tolerance,planned_slot,attempted_solve,terminal_outcome,solver_status,runtime_s,quality_metric,quality_value,strict_quality_pass,gpu_confirmed,resource_outcome
cvar,CVAR-XL,XL,16385,16513,2130048,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,95.63173294067383,solver_max_violation,1.5216711890531087e-08,true,false,not_applicable
cvar,CVAR-XL,XL,16385,16513,2130048,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,3.315178155899048,solver_max_violation,7.62661169415612e-05,false,true,not_applicable
cvar,CVAR-XL,XL,16385,16513,2130048,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,7.374428987503052,solver_max_violation,1.7801758989133276e-06,false,true,not_applicable
cvar,CVAR-XL,XL,16385,16513,2130048,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,10.979249954223633,solver_max_violation,1.500483359784255e-08,true,true,not_applicable
cvar,CVAR-XXL,XXL,65537,65665,8519808,dual_simplex,cpu,,true,true,completed,OPTIMAL,7.178869962692261,solver_max_violation,3.552713678800501e-15,true,false,not_applicable
cvar,CVAR-XXL,XXL,65537,65665,8519808,barrier,cpu,,true,true,completed,OPTIMAL,11.296015977859497,solver_max_violation,2.956814487697912e-09,true,false,not_applicable
cvar,CVAR-XXL,XXL,65537,65665,8519808,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,115.39008784294128,solver_max_violation,9.140815413610781e-05,false,false,not_applicable
cvar,CVAR-XXL,XXL,65537,65665,8519808,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,completed,OPTIMAL,229.31619811058044,solver_max_violation,2.6593594126822495e-07,true,false,not_applicable
cvar,CVAR-XXL,XXL,65537,65665,8519808,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,completed,OPTIMAL,334.2528438568115,solver_max_violation,1.440024410825913e-08,true,false,not_applicable
cvar,CVAR-XXL,XXL,65537,65665,8519808,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,19.80985116958618,solver_max_violation,0.00016535690645391732,false,true,not_applicable
cvar,CVAR-XXL,XXL,65537,65665,8519808,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,39.369033098220825,solver_max_violation,1.4795965477265582e-06,false,true,not_applicable
cvar,CVAR-XXL,XXL,65537,65665,8519808,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,55.96392107009888,solver_max_violation,8.985116206616794e-09,true,true,not_applicable
cvar,CVAR-XXXL,XXXL,262145,262273,34078848,dual_simplex,cpu,,true,true,completed,OPTIMAL,28.466028928756714,solver_max_violation,1.7763568394002505e-15,true,false,not_applicable
cvar,CVAR-XXXL,XXXL,262145,262273,34078848,barrier,cpu,,true,true,completed,OPTIMAL,69.9604651927948,solver_max_violation,1.1078346573434317e-10,true,false,not_applicable
cvar,CVAR-XXXL,XXXL,262145,262273,34078848,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,731.1102359294891,solver_max_violation,8.177629375616391e-05,false,false,not_applicable
cvar,CVAR-XXXL,XXXL,262145,262273,34078848,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,timeout,TIME_LIMIT,1200.9938328266144,solver_max_violation,3.4179753019003556e-06,false,false,not_applicable
cvar,CVAR-XXXL,XXXL,262145,262273,34078848,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,timeout,TIME_LIMIT,1201.3078019618988,solver_max_violation,2.771648816999391e-06,false,false,not_applicable
cvar,CVAR-XXXL,XXXL,262145,262273,34078848,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,125.50074911117554,solver_max_violation,5.5351467014297384e-05,false,true,not_applicable
cvar,CVAR-XXXL,XXXL,262145,262273,34078848,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,213.80341482162476,solver_max_violation,8.624557126246657e-07,true,true,not_applicable
cvar,CVAR-XXXL,XXXL,262145,262273,34078848,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,375.45040702819824,solver_max_violation,4.107459039559558e-09,true,true,not_applicable
