family,instance_label,size,rows,columns,nonzeros,method,device,tolerance,planned_slot,attempted_solve,terminal_outcome,solver_status,runtime_s,quality_metric,quality_value,strict_quality_pass,gpu_confirmed,resource_outcome
mcf,MCF-XL,XL,263680,1048576,3141120,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,timeout,TIME_LIMIT,1200.3071691989899,solver_max_violation,0.0007727779746801122,false,false,not_applicable
mcf,MCF-XL,XL,263680,1048576,3141120,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,5.02780294418335,solver_max_violation,2.4339798763980682,false,true,not_applicable
mcf,MCF-XL,XL,263680,1048576,3141120,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,45.48321795463562,solver_max_violation,0.01629559948926611,false,true,not_applicable
mcf,MCF-XL,XL,263680,1048576,3141120,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,163.17001008987427,solver_max_violation,0.00034973383817503705,false,true,not_applicable
mcf,MCF-XXL,XXL,1051648,4194304,12573696,dual_simplex,cpu,,true,true,timeout,TIME_LIMIT,1200.0314581394196,,,false,false,not_applicable
mcf,MCF-XXL,XXL,1051648,4194304,12573696,barrier,cpu,,true,true,completed,OPTIMAL,880.4678521156311,solver_max_violation,6.106361278569143e-06,true,false,not_applicable
mcf,MCF-XXL,XXL,1051648,4194304,12573696,pdhg_cpu_tol_1e4,cpu,1e-4,true,true,completed,OPTIMAL,173.3418891429901,solver_max_violation,2.4559061135496982,false,false,not_applicable
mcf,MCF-XXL,XXL,1051648,4194304,12573696,pdhg_cpu_tol_1e6,cpu,1e-6,true,true,timeout,TIME_LIMIT,1201.1849520206451,solver_max_violation,0.04918074992330007,false,false,not_applicable
mcf,MCF-XXL,XXL,1051648,4194304,12573696,pdhg_cpu_tol_1e8,cpu,1e-8,true,true,timeout,TIME_LIMIT,1200.5488181114197,solver_max_violation,0.04180954533604868,false,false,not_applicable
mcf,MCF-XXL,XXL,1051648,4194304,12573696,pdhg_gpu_tol_1e4,gpu,1e-4,true,true,completed,OPTIMAL,29.160557985305786,solver_max_violation,2.4581083367180843,false,true,not_applicable
mcf,MCF-XXL,XXL,1051648,4194304,12573696,pdhg_gpu_tol_1e6,gpu,1e-6,true,true,completed,OPTIMAL,212.45043897628784,solver_max_violation,0.021355382843448224,false,true,not_applicable
mcf,MCF-XXL,XXL,1051648,4194304,12573696,pdhg_gpu_tol_1e8,gpu,1e-8,true,true,completed,OPTIMAL,1004.7284381389618,solver_max_violation,0.0001940627266924296,false,true,not_applicable
mcf,MCF-XXXL,XXXL,4200448,16777216,50315264,dual_simplex,cpu,,true,false,resource_skip_before_attempt,,,,,,,insufficient_ram_preflight
mcf,MCF-XXXL,XXXL,4200448,16777216,50315264,barrier,cpu,,true,false,resource_skip_before_attempt,,,,,,,insufficient_ram_preflight
mcf,MCF-XXXL,XXXL,4200448,16777216,50315264,pdhg_cpu_tol_1e4,cpu,1e-4,true,false,resource_skip_before_attempt,,,,,,,insufficient_ram_preflight
mcf,MCF-XXXL,XXXL,4200448,16777216,50315264,pdhg_cpu_tol_1e6,cpu,1e-6,true,false,resource_skip_before_attempt,,,,,,,insufficient_ram_preflight
mcf,MCF-XXXL,XXXL,4200448,16777216,50315264,pdhg_cpu_tol_1e8,cpu,1e-8,true,false,resource_skip_before_attempt,,,,,,,insufficient_ram_preflight
mcf,MCF-XXXL,XXXL,4200448,16777216,50315264,pdhg_gpu_tol_1e4,gpu,1e-4,true,false,resource_skip_before_attempt,,,,,,,insufficient_ram_preflight
mcf,MCF-XXXL,XXXL,4200448,16777216,50315264,pdhg_gpu_tol_1e6,gpu,1e-6,true,false,resource_skip_before_attempt,,,,,,,insufficient_ram_preflight
mcf,MCF-XXXL,XXXL,4200448,16777216,50315264,pdhg_gpu_tol_1e8,gpu,1e-8,true,false,resource_skip_before_attempt,,,,,,,insufficient_ram_preflight
